sepal length,sepal width,petal length,petal width,class
0.5,0.343137255,0.137254902,0.019607843,1
0.515789474,0.315789474,0.147368421,0.021052632,1
0.5,0.340425532,0.138297872,0.021276596,1
0.489361702,0.329787234,0.159574468,0.021276596,1
0.490196078,0.352941176,0.137254902,0.019607843,1
0.473684211,0.342105263,0.149122807,0.035087719,1
0.474226804,0.350515464,0.144329897,0.030927835,1
0.495049505,0.336633663,0.148514851,0.01980198,1
0.494382022,0.325842697,0.157303371,0.02247191,1
0.510416667,0.322916667,0.15625,0.010416667,1
0.5,0.342592593,0.138888889,0.018518519,1
0.48,0.34,0.16,0.02,1
0.516129032,0.322580645,0.150537634,0.010752688,1
0.505882353,0.352941176,0.129411765,0.011764706,1
0.517857143,0.357142857,0.107142857,0.017857143,1
0.475,0.366666667,0.125,0.033333333,1
0.490909091,0.354545455,0.118181818,0.036363636,1
0.495145631,0.339805825,0.13592233,0.029126214,1
0.495652174,0.330434783,0.147826087,0.026086957,1
0.476635514,0.355140187,0.140186916,0.028037383,1
0.504672897,0.317757009,0.158878505,0.018691589,1
0.476635514,0.345794393,0.140186916,0.037383178,1
0.489361702,0.382978723,0.106382979,0.021276596,1
0.481132075,0.311320755,0.160377358,0.047169811,1
0.466019417,0.330097087,0.184466019,0.019417476,1
0.429447853,0.196319018,0.288343558,0.085889571,0
0.41025641,0.205128205,0.288461538,0.096153846,0
0.420731707,0.18902439,0.298780488,0.091463415,0
0.419847328,0.175572519,0.305343511,0.099236641,0
0.422077922,0.181818182,0.298701299,0.097402597,0
0.398601399,0.195804196,0.314685315,0.090909091,0
0.396226415,0.20754717,0.295597484,0.100628931,0
0.422413793,0.206896552,0.284482759,0.086206897,0
0.428571429,0.188311688,0.298701299,0.084415584,0
0.393939394,0.204545455,0.295454545,0.106060606,0
0.434782609,0.173913043,0.304347826,0.086956522,0
0.404109589,0.205479452,0.287671233,0.102739726,0
0.454545455,0.166666667,0.303030303,0.075757576,0
0.40397351,0.19205298,0.311258278,0.092715232,0
0.417910448,0.21641791,0.268656716,0.097014925,0
0.429487179,0.198717949,0.282051282,0.08974359,0
0.383561644,0.205479452,0.308219178,0.102739726,0
0.426470588,0.198529412,0.301470588,0.073529412,0
0.430555556,0.152777778,0.3125,0.104166667,0
0.427480916,0.190839695,0.297709924,0.083969466,0
0.375796178,0.203821656,0.305732484,0.114649682,0
0.429577465,0.197183099,0.281690141,0.091549296,0
0.414473684,0.164473684,0.322368421,0.098684211,0
0.412162162,0.189189189,0.317567568,0.081081081,0
0.429530201,0.194630872,0.288590604,0.087248322,0
