袖丁[cm],着丁[cm],形,正解ラベル
0.333333333,0.651515152,0.015151515,1
0.341040462,0.647398844,0.011560694,0
0.454545455,0.520661157,0.024793388,0
0.417475728,0.54368932,0.038834951,0
0.305882353,0.682352941,0.011764706,1
0.439655172,0.525862069,0.034482759,0
0.46122449,0.497959184,0.040816327,0
0.385321101,0.568807339,0.04587156,1
0.398550725,0.557971014,0.043478261,0
0.401960784,0.549019608,0.049019608,1
0.403292181,0.563786008,0.032921811,0
0.311111111,0.677777778,0.011111111,1
0.24516129,0.709677419,0.04516129,1
0.504132231,0.454545455,0.041322314,0
0.293785311,0.666666667,0.039548023,0
0.391752577,0.597938144,0.010309278,1
0.52,0.42,0.06,1
0.391304348,0.554347826,0.054347826,1
0.524752475,0.415841584,0.059405941,0
0.450819672,0.5,0.049180328,1
0.396396396,0.558558559,0.045045045,1
0.398550725,0.557971014,0.043478261,0
0.45045045,0.504504505,0.045045045,1
0.415254237,0.550847458,0.033898305,0
0.326086957,0.663043478,0.010869565,1
